fname	PID	URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	出版年(W3CDTF)	ISBN	冊数（ページ数・大きさ）	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）	公開範囲
1224106_259_0.jpg	1224106	https://dl.ndl.go.jp/info:ndljp/pid/1224106	国産総覧	昭和6年版			国産調査協会 編	国産調査協会	昭和6	1931		120, 283, 372p ; 27cm	602.1					インターネット公開（保護期間満了）
1224106_260_0.jpg	1224106	https://dl.ndl.go.jp/info:ndljp/pid/1224106	国産総覧	昭和6年版			国産調査協会 編	国産調査協会	昭和6	1931		120, 283, 372p ; 27cm	602.1					インターネット公開（保護期間満了）
1224106_306_1.jpg	1224106	https://dl.ndl.go.jp/info:ndljp/pid/1224106	国産総覧	昭和6年版			国産調査協会 編	国産調査協会	昭和6	1931		120, 283, 372p ; 27cm	602.1					インターネット公開（保護期間満了）
1225022_16_0.jpg	1225022	https://dl.ndl.go.jp/info:ndljp/pid/1225022	鉄筋混凝土構造計算表と図表	第3			井上新二 著	建築研究会	昭和2-4	1929			524					インターネット公開（保護期間満了）
1225022_16_3.jpg	1225022	https://dl.ndl.go.jp/info:ndljp/pid/1225022	鉄筋混凝土構造計算表と図表	第3			井上新二 著	建築研究会	昭和2-4	1929			524					インターネット公開（保護期間満了）
1225981_179_0.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
1225981_31_0.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
1225981_31_3.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
1225981_38_0.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
1225981_38_2.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
1225981_78_2.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
