fname	PID	URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	出版年(W3CDTF)	ISBN	冊数（ページ数・大きさ）	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）	公開範囲
1109743_58_5.jpg	1109743	https://dl.ndl.go.jp/info:ndljp/pid/1109743	ポケツト農林統計	昭和17年版			農林大臣官房統計課 [編]	農林省	昭和17	1942		269p ; 15cm	610					インターネット公開（保護期間満了）
1109878_128_0.jpg	1109878	https://dl.ndl.go.jp/info:ndljp/pid/1109878	鉄道貨物運賃便覧					北海道木材時報社	昭和5	1930		269p ; 16cm	686					インターネット公開（保護期間満了）
1109878_128_6.jpg	1109878	https://dl.ndl.go.jp/info:ndljp/pid/1109878	鉄道貨物運賃便覧					北海道木材時報社	昭和5	1930		269p ; 16cm	686					インターネット公開（保護期間満了）
1109878_128_7.jpg	1109878	https://dl.ndl.go.jp/info:ndljp/pid/1109878	鉄道貨物運賃便覧					北海道木材時報社	昭和5	1930		269p ; 16cm	686					インターネット公開（保護期間満了）
1109878_130_3.jpg	1109878	https://dl.ndl.go.jp/info:ndljp/pid/1109878	鉄道貨物運賃便覧					北海道木材時報社	昭和5	1930		269p ; 16cm	686					インターネット公開（保護期間満了）
1110291_110_0.jpg	1110291	https://dl.ndl.go.jp/info:ndljp/pid/1110291	国鉄ポケット・ブック				鉄道技術社 編纂	鉄道技術社	昭和13	1938		561p ; 16cm	686					インターネット公開（保護期間満了）
1110326_450_0.jpg	1110326	https://dl.ndl.go.jp/info:ndljp/pid/1110326	最新工学宝典			第4版	鉄道時報編輯局 編纂	鉄道時報局	昭和12	1937		1447p ; 14cm	503					インターネット公開（保護期間満了）
1111381_124_1.jpg	1111381	https://dl.ndl.go.jp/info:ndljp/pid/1111381	保線ポケット・ブック				鉄道技術社 編纂	鉄道技術社	昭和11	1936		456p ; 15cm	516					インターネット公開（保護期間満了）
1113466_13_0.jpg	1113466	https://dl.ndl.go.jp/info:ndljp/pid/1113466	製鉄所研究所研究報告	第10巻 第5号				製鉄所	昭2至7	1932			564					インターネット公開（保護期間満了）
1114089_54_0.jpg	1114089	https://dl.ndl.go.jp/info:ndljp/pid/1114089	台湾水産統計	昭和12年			台湾総督府殖産局水産課 編	台湾総督府殖産局水産課	昭和14	1939			660					インターネット公開（保護期間満了）
1114089_54_1.jpg	1114089	https://dl.ndl.go.jp/info:ndljp/pid/1114089	台湾水産統計	昭和12年			台湾総督府殖産局水産課 編	台湾総督府殖産局水産課	昭和14	1939			660					インターネット公開（保護期間満了）
1114089_54_3.jpg	1114089	https://dl.ndl.go.jp/info:ndljp/pid/1114089	台湾水産統計	昭和12年			台湾総督府殖産局水産課 編	台湾総督府殖産局水産課	昭和14	1939			660					インターネット公開（保護期間満了）
1114095_85_3.jpg	1114095	https://dl.ndl.go.jp/info:ndljp/pid/1114095	台湾総督府交通局鉄道年報	第36(昭和9年度)			台湾総督府交通局鉄道部 編	台湾総督府交通局鉄道部	昭和10	1935			686					インターネット公開（保護期間満了）
1114104_65_1.jpg	1114104	https://dl.ndl.go.jp/info:ndljp/pid/1114104	台湾総督府逓信統計要覧	昭和11年度			台湾総督府交通局 編	台湾総督府交通局	昭和13	1938			690					インターネット公開（保護期間満了）
1114108_95_0.jpg	1114108	https://dl.ndl.go.jp/info:ndljp/pid/1114108	台湾総督府逓信統計要覧	昭和12年度			台湾総督府交通局 編	台湾総督府交通局	昭和14	1939			690					インターネット公開（保護期間満了）
1114128_223_0.jpg	1114128	https://dl.ndl.go.jp/info:ndljp/pid/1114128	台中州統計書	昭和8年			台中州 編	台中州	昭和10	1935			352					インターネット公開（保護期間満了）
1114147_120_1.jpg	1114147	https://dl.ndl.go.jp/info:ndljp/pid/1114147	台湾総督府交通局鉄道年報	第39(昭和12年度)			台湾総督府交通局鉄道部 編	台湾総督府交通局鉄道部	昭和13	1938			686					インターネット公開（保護期間満了）
1114157_70_0.jpg	1114157	https://dl.ndl.go.jp/info:ndljp/pid/1114157	台中州統計書	昭和11年			台中州 編	台中州	昭和13	1938			352					インターネット公開（保護期間満了）
1114175_69_2.jpg	1114175	https://dl.ndl.go.jp/info:ndljp/pid/1114175	台中州統計書	昭和12年			台中州 編	台中州	昭和14	1939			352					インターネット公開（保護期間満了）
1114423_90_0.jpg	1114423	https://dl.ndl.go.jp/info:ndljp/pid/1114423	中央気象台彙報	第14冊 昭和十三年六月二十八日より七月五日に至る豪雨報告			中央気象台 編	中央気象台	昭和13	1938			451					インターネット公開（保護期間満了）
1114453_19_1.jpg	1114453	https://dl.ndl.go.jp/info:ndljp/pid/1114453	[朝鮮総督府]林業試験場報告	第31号				朝鮮総督府林業試験場	昭9至14	1939			650					インターネット公開（保護期間満了）
1114652_114_1.jpg	1114652	https://dl.ndl.go.jp/info:ndljp/pid/1114652	電気事業要覧	第12回(昭和9年度)			台湾総督府交通局 編	台湾電気協会	昭和10	1935			540.9					インターネット公開（保護期間満了）
1114847_128_0.jpg	1114847	https://dl.ndl.go.jp/info:ndljp/pid/1114847	東京市衛生試験所報告 : 学術報告	第12回(昭和10年分)			東京市衛生試験所 編	東京市	昭和11	1936			498					インターネット公開（保護期間満了）
1114857_137_2.jpg	1114857	https://dl.ndl.go.jp/info:ndljp/pid/1114857	東京市衛生試験所報告 : 学術報告	第13回(昭和11年分)			東京市衛生試験所 編	東京市	昭和12	1937			498					インターネット公開（保護期間満了）
1114857_55_0.jpg	1114857	https://dl.ndl.go.jp/info:ndljp/pid/1114857	東京市衛生試験所報告 : 学術報告	第13回(昭和11年分)			東京市衛生試験所 編	東京市	昭和12	1937			498					インターネット公開（保護期間満了）
1114857_58_2.jpg	1114857	https://dl.ndl.go.jp/info:ndljp/pid/1114857	東京市衛生試験所報告 : 学術報告	第13回(昭和11年分)			東京市衛生試験所 編	東京市	昭和12	1937			498					インターネット公開（保護期間満了）
1114857_59_1.jpg	1114857	https://dl.ndl.go.jp/info:ndljp/pid/1114857	東京市衛生試験所報告 : 学術報告	第13回(昭和11年分)			東京市衛生試験所 編	東京市	昭和12	1937			498					インターネット公開（保護期間満了）
1114857_59_2.jpg	1114857	https://dl.ndl.go.jp/info:ndljp/pid/1114857	東京市衛生試験所報告 : 学術報告	第13回(昭和11年分)			東京市衛生試験所 編	東京市	昭和12	1937			498					インターネット公開（保護期間満了）
1114863_69_1.jpg	1114863	https://dl.ndl.go.jp/info:ndljp/pid/1114863	東京市衛生試験所報告 : 学術報告	第15回(昭和13年分)			東京市衛生試験所 編	東京市	昭和14	1939			498					インターネット公開（保護期間満了）
1169067_75_1.jpg	1169067	https://dl.ndl.go.jp/info:ndljp/pid/1169067	学生年鑑 : 統計と図会	1948			新興出版社編集部 編	新興出版社	昭和22	1947		225p ; 19cm						インターネット公開（保護期間満了）
1169415_31_1.jpg	1169415	https://dl.ndl.go.jp/info:ndljp/pid/1169415	社会科サイドブック	小学5年			教学研究社編集部 編	教学研究社	昭和24	1949		58p ; 19cm						インターネット公開（保護期間満了）
1169415_31_2.jpg	1169415	https://dl.ndl.go.jp/info:ndljp/pid/1169415	社会科サイドブック	小学5年			教学研究社編集部 編	教学研究社	昭和24	1949		58p ; 19cm						インターネット公開（保護期間満了）
1171685_27_0.jpg	1171685	https://dl.ndl.go.jp/info:ndljp/pid/1171685	建設工事現場業績	第1輯			鉄道省建設局工事課 編	シビル社	昭和3	1928			516					インターネット公開（保護期間満了）
1172820_65_3.jpg	1172820	https://dl.ndl.go.jp/info:ndljp/pid/1172820	日本標準規格 : JES	合本第2巻			商工省工業品規格統一調査会 編	工業調査協会	昭和12	1937			501					インターネット公開（保護期間満了）
1172918_65_0.jpg	1172918	https://dl.ndl.go.jp/info:ndljp/pid/1172918	亞硫酸瓦斯吸著に關する調査					商工省鑛山局	1931	1931		179p ; 27cm	574.1					インターネット公開（保護期間満了）
1172918_65_1.jpg	1172918	https://dl.ndl.go.jp/info:ndljp/pid/1172918	亞硫酸瓦斯吸著に關する調査					商工省鑛山局	1931	1931		179p ; 27cm	574.1					インターネット公開（保護期間満了）
1173186_194_4.jpg	1173186	https://dl.ndl.go.jp/info:ndljp/pid/1173186	化学工業年鑑	昭和18年版			化学工業時報社編輯部 編	化学工業時報社編輯部	昭和15-17	1941			570					インターネット公開（保護期間満了）
1176142_240_0.jpg	1176142	https://dl.ndl.go.jp/info:ndljp/pid/1176142	土木建築資料総覧	第2回			建築資料研究会 編	建築資料研究会	昭和2	1927		550p ; 30cm	510					インターネット公開（保護期間満了）
1176142_240_1.jpg	1176142	https://dl.ndl.go.jp/info:ndljp/pid/1176142	土木建築資料総覧	第2回			建築資料研究会 編	建築資料研究会	昭和2	1927		550p ; 30cm	510					インターネット公開（保護期間満了）
1176142_240_2.jpg	1176142	https://dl.ndl.go.jp/info:ndljp/pid/1176142	土木建築資料総覧	第2回			建築資料研究会 編	建築資料研究会	昭和2	1927		550p ; 30cm	510					インターネット公開（保護期間満了）
1176142_240_4.jpg	1176142	https://dl.ndl.go.jp/info:ndljp/pid/1176142	土木建築資料総覧	第2回			建築資料研究会 編	建築資料研究会	昭和2	1927		550p ; 30cm	510					インターネット公開（保護期間満了）
1176142_240_5.jpg	1176142	https://dl.ndl.go.jp/info:ndljp/pid/1176142	土木建築資料総覧	第2回			建築資料研究会 編	建築資料研究会	昭和2	1927		550p ; 30cm	510					インターネット公開（保護期間満了）
1176142_456_2.jpg	1176142	https://dl.ndl.go.jp/info:ndljp/pid/1176142	土木建築資料総覧	第2回			建築資料研究会 編	建築資料研究会	昭和2	1927		550p ; 30cm	510					インターネット公開（保護期間満了）
1176617_609_2.jpg	1176617	https://dl.ndl.go.jp/info:ndljp/pid/1176617	日本毛織三十年史				日本毛織株式会社 編	日本毛織	昭和6	1931		359, 42, 2p ; 26cm	586					インターネット公開（保護期間満了）
1176617_611_1.jpg	1176617	https://dl.ndl.go.jp/info:ndljp/pid/1176617	日本毛織三十年史				日本毛織株式会社 編	日本毛織	昭和6	1931		359, 42, 2p ; 26cm	586					インターネット公開（保護期間満了）
1176617_611_2.jpg	1176617	https://dl.ndl.go.jp/info:ndljp/pid/1176617	日本毛織三十年史				日本毛織株式会社 編	日本毛織	昭和6	1931		359, 42, 2p ; 26cm	586					インターネット公開（保護期間満了）
1176617_625_0.jpg	1176617	https://dl.ndl.go.jp/info:ndljp/pid/1176617	日本毛織三十年史				日本毛織株式会社 編	日本毛織	昭和6	1931		359, 42, 2p ; 26cm	586					インターネット公開（保護期間満了）
1177096_64_0.jpg	1177096	https://dl.ndl.go.jp/info:ndljp/pid/1177096	自動車用品辞書					安全自動車調査部	昭和2	1927		170p ; 20cm	539					インターネット公開（保護期間満了）
1178795_209_2.jpg	1178795	https://dl.ndl.go.jp/info:ndljp/pid/1178795	工学便覧			改訂増補	佐世保海軍工廠 編	原田印刷所	昭和7	1932		558, 94p ; 16cm	503					インターネット公開（保護期間満了）
1183999_15_0.jpg	1183999	https://dl.ndl.go.jp/info:ndljp/pid/1183999	愛知県海部郡弥富町土地宝典				帝国市町村地図刊行会 編	帝国市町村地図刊行会	昭和17	1942		図版12枚 ; 36cm	291.55					インターネット公開（保護期間満了）
1183999_19_0.jpg	1183999	https://dl.ndl.go.jp/info:ndljp/pid/1183999	愛知県海部郡弥富町土地宝典				帝国市町村地図刊行会 編	帝国市町村地図刊行会	昭和17	1942		図版12枚 ; 36cm	291.55					インターネット公開（保護期間満了）
1184001_51_0.jpg	1184001	https://dl.ndl.go.jp/info:ndljp/pid/1184001	愛知県愛知郡東郷村土地宝典				帝国市町村地図刊行会 編	帝国市町村地図刊行会	昭和17	1942		図版22枚 ; 37cm	291.55					インターネット公開（保護期間満了）
1184001_85_0.jpg	1184001	https://dl.ndl.go.jp/info:ndljp/pid/1184001	愛知県愛知郡東郷村土地宝典				帝国市町村地図刊行会 編	帝国市町村地図刊行会	昭和17	1942		図版22枚 ; 37cm	291.55					インターネット公開（保護期間満了）
1184376_48_0.jpg	1184376	https://dl.ndl.go.jp/info:ndljp/pid/1184376	愛知県西春日井郡新川町土地宝典				帝国市町村地図刊行会 編	帝国市町村地図刊行会	昭14	1939		図版9枚 ; 38cm	291.55					インターネット公開（保護期間満了）
1208242_77_1.jpg	1208242	https://dl.ndl.go.jp/info:ndljp/pid/1208242	青刈大豆の改良増殖に関する試験成績報告	第1報			福岡県立農事試験場 編	福岡県立農事試験場	昭和6	1931		136p ; 27cm	616					インターネット公開（保護期間満了）
